sub_category,region,state,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg
Tables,West,California,31,31,30,16759.504,-1651.0244999999995,-0.09851273044834737,119,0.20000000000000007,1.0,31,1.0,540.6291612903226,-53.25885483870966,4.161290322580645
Chairs,West,California,42,42,40,12346.448,-1462.4538,-0.11845137970046121,152,0.19999999999999996,1.0,42,1.0,293.96304761904764,-34.82032857142857,3.7857142857142856
Chairs,South,Florida,9,9,9,3641.056,-478.33700000000005,-0.13137315108583886,35,0.2,1.0,9,1.0,404.56177777777776,-53.14855555555556,4.444444444444445
Bookcases,East,New York,15,15,15,11247.983999999999,-466.22260000000006,-0.04144943662793262,51,0.20000000000000007,1.0,15,1.0,749.8655999999999,-31.08150666666667,4.133333333333334
Bookcases,West,California,17,16,16,5881.150000000001,-328.703,-0.05589093969716806,50,0.15,1.0,17,1.0,367.57187500000003,-20.5439375,3.9411764705882355
Chairs,West,Arizona,6,6,6,2334.872,-327.3371,-0.14019488006194775,22,0.19999999999999998,1.0,6,1.0,389.1453333333333,-54.55618333333334,2.6666666666666665
Chairs,West,Washington,12,11,11,3602.6240000000003,-294.21880000000004,-0.08166791760672222,42,0.20000000000000004,1.0,12,1.0,327.51127272727274,-26.74716363636364,3.9166666666666665
Furnishings,East,Pennsylvania,8,8,8,2723.112,-274.1826,-0.10068722843570149,30,0.2,1.0,8,1.0,340.389,-34.272825,3.25
Chairs,South,Tennessee,5,5,5,1735.8,-212.5254,-0.1224365710335292,18,0.2,1.0,5,1.0,347.15999999999997,-42.50508,4.6
Bookcases,South,Florida,4,4,4,1484.08,-141.2254,-0.09516023394965233,15,0.2,1.0,4,1.0,371.02,-35.30635,3.75
Chairs,West,Oregon,4,3,3,1241.44,-138.715,-0.11173717618249775,12,0.2,1.0,4,1.0,413.81333333333333,-46.23833333333334,3.25
Chairs,West,Nevada,1,1,1,674.352,-109.5822,-0.1625,3,0.2,1.0,1,1.0,674.352,-109.5822,7.0
Bookcases,South,North Carolina,3,3,3,727.136,-103.776,-0.14271883114025438,14,0.20000000000000004,1.0,3,1.0,242.37866666666665,-34.592,4.666666666666667
Furnishings,East,Ohio,7,7,7,1187.136,-87.1748,-0.0734328670009165,21,0.19999999999999998,1.0,7,1.0,169.59085714285715,-12.453542857142859,4.142857142857143
Chairs,West,Colorado,2,2,2,1161.472,-58.0736,-0.05,12,0.2,1.0,2,1.0,580.736,-29.0368,1.0
Furnishings,South,North Carolina,1,1,1,410.352,-51.294,-0.125,3,0.2,1.0,1,1.0,410.352,-51.294,4.0
Furnishings,West,Arizona,3,3,3,599.648,-45.1832,-0.0753495383958589,12,0.20000000000000004,1.0,3,1.0,199.88266666666667,-15.061066666666667,3.6666666666666665
Furnishings,West,Colorado,3,3,3,587.064,-41.7207,-0.07106669800907568,9,0.20000000000000004,1.0,3,1.0,195.688,-13.9069,2.6666666666666665
Chairs,South,North Carolina,2,2,2,295.176,-33.207300000000004,-0.11250000000000002,3,0.2,1.0,2,1.0,147.588,-16.603650000000002,4.5
Furnishings,South,Tennessee,2,2,2,210.176,-29.873600000000003,-0.1421361144945189,7,0.2,1.0,2,1.0,105.088,-14.936800000000002,4.5
Chairs,East,New York,4,4,4,1506.348,-29.2744,-0.019434021886044924,14,0.1,1.0,4,1.0,376.587,-7.3186,2.75
Furnishings,South,Florida,4,4,4,470.064,-16.4895,-0.03507926580210354,13,0.2,1.0,4,1.0,117.516,-4.122375,3.25
Bookcases,South,Tennessee,1,1,1,387.136,-14.5176,-0.0375,4,0.2,1.0,1,1.0,387.136,-14.5176,4.0
Furnishings,West,Oregon,1,1,1,13.592,-0.3398,-0.024999999999999998,1,0.2,1.0,1,1.0,13.592,-0.3398,4.0
