order_quarter,line_count,orders,customers,total_sales,total_profit,profit_margin,quantity,average_discount,discounted_sales_share,loss_line_count,loss_line_rate,average_order_value,profit_per_order,shipping_days_avg,sales_growth,profit_growth
2014-Q1,60,49,48,22656.139000000003,-202.49679999999995,-0.008937833582323975,224,0.185,0.6039307491889946,20,0.3333333333333333,462.37018367346946,-4.13258775510204,4.066666666666666,,
2014-Q2,80,69,69,28063.749600000003,800.8177999999998,0.028535666524048507,300,0.179,0.6708030775759203,28,0.35,406.7210086956522,11.606055072463766,4.175,0.2386819131009039,4.9547182967829615
2014-Q3,113,97,92,41957.8783,2896.3160000000003,0.069029133915954,429,0.15902654867256635,0.680562255694421,32,0.2831858407079646,432.5554463917525,29.85892783505155,4.061946902654867,0.4950916715705015,2.616697830642627
2014-Q4,168,138,134,64515.08619999999,1963.0884999999998,0.030428363591026252,670,0.19803571428571426,0.6770113592439098,64,0.38095238095238093,467.5006246376811,14.225278985507245,3.732142857142857,0.5376155519284205,-0.32221190643562386
2015-Q1,54,45,45,27374.0986,-1164.2478999999998,-0.04253100410765671,244,0.1788888888888889,0.6368669469174777,23,0.42592592592592593,608.3133022222222,-25.87217555555555,4.018518518518518,-0.5756946132701594,-1.5930694922821869
2015-Q2,89,71,66,27564.828,826.5751999999997,0.029986590157573254,345,0.16404494382022475,0.6102714662322579,30,0.33707865168539325,388.23701408450705,11.641904225352107,4.370786516853933,0.00696751344352943,1.709964948186722
2015-Q3,132,107,98,49586.0352,537.5537999999997,0.01084083044413278,479,0.16378787878787876,0.676218718934802,45,0.3409090909090909,463.42088971962613,5.0238672897196235,3.7803030303030303,0.7988878871292067,-0.34966134962674916
2015-Q4,177,148,131,65993.2752,2815.3217999999997,0.042660737650432594,707,0.17180790960451978,0.6582812425712128,48,0.2711864406779661,445.9005081081081,19.022444594594592,3.926553672316384,0.3308842889701334,4.23728378443237
2016-Q1,82,73,72,24349.386,125.72789999999989,0.005163493650312164,332,0.17707317073170734,0.6306941784897574,30,0.36585365853658536,333.5532328767123,1.7222999999999986,3.707317073170732,-0.6310323146380225,-0.9553415527844811
2016-Q2,116,101,96,41402.497,2083.0408000000007,0.050311960653001205,455,0.18706896551724136,0.5978998561366963,40,0.3448275862068966,409.92571287128715,20.62416633663367,3.9741379310344827,0.7003507603846768,15.567848504588103
2016-Q3,151,125,114,52814.63220000001,1247.3641000000007,0.02361777499986075,558,0.1825165562913907,0.7058095578293166,50,0.33112582781456956,422.51705760000004,9.978912800000005,4.072847682119205,0.2756388147313918,-0.4011811482521128
2016-Q4,213,177,158,80334.92079999999,3503.8203000000003,0.043615158452985005,848,0.16732394366197184,0.6170061575513498,69,0.323943661971831,453.869609039548,19.795594915254238,3.9812206572769955,0.5210731847148976,1.8089795914440687
2017-Q1,88,73,72,23723.8142,762.3709,0.03213525841894344,280,0.16147727272727275,0.6321999520633574,31,0.3522727272727273,324.9837561643836,10.44343698630137,3.9431818181818183,-0.7046886464348141,-0.7824172375506815
2017-Q2,148,124,111,45032.102999999996,1034.5751,0.02297416800632207,535,0.1877027027027027,0.6562929783670106,58,0.3918918918918919,363.1621209677419,8.343347580645162,3.7567567567567566,0.8981814062597065,0.3570495673431397
2017-Q3,174,142,127,56283.102,2195.5471,0.039008992432577716,612,0.15229885057471262,0.7072506771215276,48,0.27586206896551724,396.35987323943664,15.461599295774647,3.7758620689655173,0.24984396131799586,1.1221727644518023
2017-Q4,276,225,204,90348.25,-974.1017999999999,-0.010781634398009922,1010,0.17402173913043475,0.6496067162341274,98,0.35507246376811596,401.54777777777775,-4.329341333333333,3.8260869565217392,0.6052464556768744,-1.4436715568525038
